x,y,z
-0.244233994,0.001194,1.038861
-0.244233994,0.001194,1.038861
-0.24426268,0.001169954,1.038880592
-0.244273911,0.0011408430000000001,1.038881416
-0.24429641700000002,0.001057226,1.038897079
-0.244277084,0.0009754329999999999,1.038876976
-0.24422464,0.0008562880000000001,1.038845612
-0.244199097,0.000785718,1.03882901
-0.24413111900000004,0.000673839,1.0387914280000001
-0.24403993200000001,0.0005200350000000001,1.038727242
-0.243947296,0.000364797,1.038661926
-0.243875443,0.000247387,1.0386161040000002
-0.24374461400000003,8.2507e-05,1.03851889
-0.24364147900000002,-4.8697e-05,1.0384484330000001
-0.24350669900000002,-0.0001883,1.038351074
-0.243305222,-0.000375324,1.038205757
-0.243138229,-0.000525646,1.038094063
-0.24293261700000002,-0.0006896609999999999,1.037958214
-0.242699448,-0.000894253,1.0377894060000001
-0.24254103100000002,-0.00105294,1.037654655
-0.242368958,-0.0012291609999999999,1.037486794
-0.24220587200000002,-0.001403066,1.037311783
-0.242015976,-0.001620478,1.037082565
-0.24191352800000002,-0.0017883,1.036851166
-0.24179609700000002,-0.001957923,1.036634895
-0.24169101,-0.002126544,1.036403542
-0.24156834400000002,-0.002293161,1.036210655
-0.24143469200000003,-0.002503609,1.035924988
-0.24133738700000001,-0.002673047,1.03567128
-0.241244217,-0.002843498,1.035412453
-0.241145142,-0.0030121,1.0351598050000002
-0.241014725,-0.0032207530000000002,1.034845261
-0.24091439800000003,-0.003388882,1.0345877300000001
-0.24081855800000002,-0.0035581489999999996,1.034330421
-0.24071841400000002,-0.003725679,1.034074745
-0.24061459400000001,-0.003891912,1.033819176
-0.240484146,-0.004099455,1.033499069
-0.24037893700000001,-0.004265074000000001,1.0332419050000001
-0.24027505500000002,-0.0044306039999999994,1.0329836270000001
-0.240166656,-0.0045959139999999996,1.032726013
-0.240033295,-0.004803003,1.0324028170000001
-0.239952972,-0.004927209,1.032208725
-0.23981648300000002,-0.005134289,1.031884399
-0.239711533,-0.0053000040000000005,1.031622665
-0.23960272200000002,-0.005465631,1.0313625260000001
-0.239489914,-0.005631189,1.031103783
-0.23935145600000002,-0.005838406,1.030778404
-0.23923761,-0.006003978,1.030518097
-0.239127808,-0.006170013,1.030257202
-0.23901612900000002,-0.0063356409999999995,1.029995895
-0.23890184,-0.006500789,1.0297342
-0.238788452,-0.006665827,1.029472122
-0.23865184,-0.006872867,1.0291435850000001
-0.23854460100000002,-0.007038557,1.028880417
-0.23842585800000002,-0.007202213000000001,1.0286158680000002
-0.23828118900000003,-0.007407129,1.028284958
-0.238172409,-0.007571929,1.028019508
-0.238059814,-0.0077357170000000005,1.027753342
-0.23793585200000003,-0.007897007999999999,1.02748584
-0.237784744,-0.008098922,1.0271506270000001
-0.237669357,-0.008261017,1.026881866
-0.237555511,-0.008422942000000001,1.026612373
-0.237441711,-0.008584631,1.026342377
-0.23729643200000003,-0.008785484,1.026003258
-0.23718266300000002,-0.008945676999999999,1.025730873
-0.23706834400000001,-0.009105785,1.02545826
-0.236951706,-0.009264946,1.025184334
-0.236810242,-0.009463349,1.0248404850000001
-0.236696564,-0.009621722000000001,1.024564781
-0.23658151200000002,-0.009780602,1.024289833
-0.236466309,-0.009938766,1.024013687
-0.23634974700000003,-0.010095154,1.023734734
-0.236206879,-0.010290506000000001,1.023385887
-0.236091965,-0.010446551,1.023106148
-0.235976135,-0.010602327,1.022825874
-0.23585902400000003,-0.010757693,1.022544922
-0.235713318,-0.010951084,1.022192368
-0.235597275,-0.011105747,1.0219100190000001
-0.23547924800000003,-0.011259373999999999,1.021626152
-0.235362656,-0.011413277000000001,1.021342422
-0.23524200400000003,-0.011566095,1.0210570300000001
-0.235090607,-0.011756645000000001,1.0206993100000001
-0.23496821600000004,-0.011908965,1.020412697
-0.23484190400000002,-0.012061947,1.020126808
-0.234690094,-0.01225172,1.019767029
-0.23456332400000002,-0.012404353,1.0194799270000001
-0.23443258700000003,-0.012556561,1.019191879
-0.234301224,-0.012709881,1.018904968
-0.234139603,-0.012899794,1.0185438
-0.234006653,-0.013053228,1.018256348
-0.23388348400000003,-0.013202837,1.017964149
-0.233716919,-0.013394548000000001,1.017603874
-0.23359489400000003,-0.013544190000000001,1.017311096
-0.233458725,-0.013698158,1.017022911
-0.23333335900000002,-0.013848855,1.016730736
-0.23319744900000003,-0.014002561,1.016441612
-0.23304054300000002,-0.01419057,1.016075058
-0.23291349800000002,-0.014341265,1.015781784
-0.23278532400000002,-0.014492407,1.015488747
-0.23265799000000004,-0.014643147,1.0151949390000001
-0.23252862500000002,-0.014794719999999999,1.01490181
-0.232377502,-0.014980205,1.0145303650000002
-0.232274628,-0.015095899,1.014312401
-0.23212587,-0.015280189,1.013938774
-0.23198233000000001,-0.015436824,1.013650291
-0.231878799,-0.015578204,1.013343697
-0.231734497,-0.015735262,1.013055145
-0.23163374300000003,-0.015875175000000002,1.012746246
-0.23146049500000002,-0.016067907000000003,1.012381226
-0.231357285,-0.016184431,1.012163315
-0.23120137000000002,-0.016347601,1.011881432
-0.23105366500000002,-0.016506260000000002,1.01159317
-0.230840652,-0.016741619,1.0111576310000001
-0.23069302400000002,-0.016900621,1.0108691250000001
-0.230551178,-0.017056988000000002,1.010577187
-0.230404617,-0.017215511,1.010287537
-0.23026483200000003,-0.0173708,1.009994225
-0.230099762,-0.017561405000000002,1.009622437
-0.22996470600000002,-0.017715576,1.0093263700000001
-0.229835175,-0.017867199,1.00902739
-0.22970019500000002,-0.018020861,1.008730766
-0.229542374,-0.01820899,1.0083547290000001
-0.229410858,-0.018361831999999998,1.008056419
-0.229286499,-0.018512315999999997,1.00775489
-0.229156982,-0.018663778,1.007454727
-0.22903514100000003,-0.01881278,1.0071511690000001
-0.228907257,-0.01896417,1.006850304
-0.22878561400000003,-0.019113777,1.006547028
-0.228660034,-0.019263769,1.0062441020000001
-0.228510666,-0.019449725999999997,1.005863235
-0.228387833,-0.019598989,1.005559021
-0.228257812,-0.019751118,1.005257553
-0.228100342,-0.019940672,1.004879585
-0.227971832,-0.020092533,1.004577301
-0.227848862,-0.020243422,1.00427359
-0.227730484,-0.020392607,1.003967972
-0.227579636,-0.020579943,1.003586731
-0.22746453900000002,-0.020728148999999998,1.003279633
-0.22734364299999998,-0.020878231,1.0029745030000001
-0.227228943,-0.021026478,1.002667099
-0.227078522,-0.021214161000000002,1.002285225
-0.226952072,-0.021366907,1.0019821850000001
-0.226832596,-0.021517416,1.001676399
-0.22670637500000002,-0.021670313,1.001373123
-0.22658772300000002,-0.021820644,1.0010667340000001
-0.226461929,-0.021973703,1.000763268
-0.226310272,-0.022164383,1.000382927
-0.226184387,-0.022317823,1.000079414
-0.226065079,-0.0224701,0.999774422
-0.225939667,-0.022623584999999998,0.9994705730000001
-0.22582016,-0.022776078999999998,0.9991654590000001
-0.22566444400000002,-0.022967827,0.998784996
-0.225545563,-0.023120052000000002,0.99847892
-0.225421509,-0.023273416999999998,0.998174065
-0.22530313100000002,-0.023425819,0.997867813
-0.225147324,-0.023617607,0.997486267
-0.22502476500000002,-0.023771626,0.9971813580000001
-0.224900543,-0.023925156,0.9968758160000001
-0.22477893100000002,-0.024078979,0.9965702670000001
-0.22465434300000003,-0.024232721000000002,0.996264557
-0.22450405900000003,-0.024424656,0.995881721
-0.22441760300000002,-0.024539782,0.995651825
-0.224270828,-0.024731173,0.9952682270000001
-0.22415547200000002,-0.024884832,0.994961517
-0.224009964,-0.02507546,0.994576576
-0.22389122,-0.025227219000000002,0.9942675630000001
-0.22377000400000002,-0.025381727,0.993960762
-0.22364883400000002,-0.025534512,0.9936522670000001
-0.22353024300000002,-0.025688099000000002,0.993344093
-0.22341125500000003,-0.025843449,0.9930375600000001
-0.223258392,-0.026037748,0.9926544270000001
-0.22313743600000002,-0.026191535999999998,0.9923459240000001
-0.223015427,-0.026346775,0.992038513
-0.22286441,-0.026538877,0.991652237
-0.222774246,-0.026654655000000003,0.991420639
-0.22262207,-0.026849884,0.991036644
-0.222498474,-0.027006062,0.9907293850000001
-0.222377197,-0.027162176,0.990421616
-0.222220444,-0.02735853,0.990038162
-0.22209098800000002,-0.02751656,0.989732002
-0.221958923,-0.027676981,0.9894280470000001
-0.22181910700000002,-0.027839817,0.98912635
-0.221672012,-0.028007716999999998,0.988830418
-0.221505386,-0.028187795999999998,0.9885461390000001
-0.221280319,-0.028418484,0.9881950260000001
-0.22109193400000002,-0.028606939,0.9879175870000001
-0.22089894100000002,-0.028798016,0.9876416090000001
-0.22069517500000002,-0.02899375,0.9873720890000001
-0.22047122200000002,-0.029222801,0.987017818
-0.220262497,-0.029419489,0.98674828
-0.220029358,-0.029630764,0.9864926380000001
-0.21978477500000002,-0.029847729,0.986241806
-0.219534622,-0.030067698,0.9859932060000001
-0.219274078,-0.030292776,0.985749435
-0.21893901100000002,-0.030579153,0.9854489590000001
-0.218663467,-0.030812132,0.9852118190000001
-0.218379013,-0.031049606,0.9849790190000001
-0.218011139,-0.031352823,0.9846939960000001
-0.21770932,-0.031599377,0.9844696460000001
-0.217400284,-0.031849758,0.984248615
-0.217082642,-0.032104477000000006,0.9840316050000001
-0.21667861900000002,-0.032426796,0.9837632900000001
-0.21635034200000003,-0.032687408,0.983550133
-0.216012024,-0.032953262000000004,0.983342236
-0.21567067,-0.033220852,0.983136303
-0.215234772,-0.033559696,0.982884796
-0.214881912,-0.033833271000000005,0.9826845860000001
-0.21452447500000002,-0.034109138000000004,0.982487015
-0.21416204800000002,-0.034388023,0.98229034
-0.21380558800000002,-0.034663879,0.982094028
-0.213345367,-0.035016917999999994,0.981850063
-0.21299447600000002,-0.035291213999999994,0.9816515050000001
-0.21252655,-0.035648228000000004,0.98141124
-0.212170044,-0.035925594,0.9812155720000001
-0.211793503,-0.036212893999999995,0.9810241550000001
-0.211390167,-0.036513664,0.980845505
-0.210998917,-0.03681036,0.9806617550000001
-0.21061753800000002,-0.037100967,0.980476063
-0.21011970500000002,-0.037469955,0.980256569
-0.209704575,-0.037776432,0.980084908
-0.209301071,-0.038078442000000004,0.979909702
-0.20879342700000003,-0.038458134,0.9796910670000001
-0.208493408,-0.038683479,0.979558884
-0.20798288,-0.039065174,0.979341824
-0.20768241900000003,-0.039290981,0.9792103350000001
-0.20717057800000002,-0.03967453,0.978993996
-0.20675187700000003,-0.039985394,0.978825638
-0.206233047,-0.040372879,0.9786132510000001
