q0,q1,q2,q3,q4,q5
0.0,0.0,0.0,0.0,0.0,0.0
0.00394084956496954,0.004492000676691532,-0.0030020950362086296,-0.004008930176496506,-0.0029514434281736612,0.004002791829407215
0.00790248904377222,0.00947235245257616,-0.0059789856895804405,-0.008010266348719597,-0.005989886820316315,0.00013512081932276487
0.011864828877151012,0.014754803851246834,-0.008803806267678738,-0.012023833580315113,-0.008543700911104679,-0.003658922156319022
0.015881210565567017,0.020210346207022667,-0.01125958189368248,-0.01604408770799637,-0.010816706344485283,-0.0074124764651060104
0.019283875823020935,0.024780847132205963,-0.013744777999818325,-0.019245419651269913,-0.014584089629352093,-0.01172755379229784
0.024557657539844513,0.029457589611411095,-0.017048828303813934,-0.024987630546092987,-0.01775803416967392,-0.016254602000117302
0.028102487325668335,0.030655531212687492,-0.025171007961034775,-0.028516829013824463,-0.024153685197234154,-0.019771434366703033
0.03128555417060852,0.03147845342755318,-0.031041646376252174,-0.03112947568297386,-0.03308508172631264,-0.023971468210220337
0.03590819612145424,0.035482581704854965,-0.03562505543231964,-0.03577464818954468,-0.03577318787574768,-0.02794177457690239
0.03986142575740814,0.039830826222896576,-0.03929077833890915,-0.039934463798999786,-0.039920784533023834,-0.03199102357029915
0.04384569078683853,0.043899405747652054,-0.04318896308541298,-0.04392990842461586,-0.04390564560890198,-0.035990580916404724
0.047835573554039,0.047910187393426895,-0.047157809138298035,-0.04792533814907074,-0.04789889603853226,-0.03805075213313103
0.05182727426290512,0.05190550163388252,-0.051147449761629105,-0.051921021193265915,-0.05189449340105057,-0.03479863703250885
0.05581660568714142,0.05589563399553299,-0.05514397844672203,-0.055916305631399155,-0.05589088797569275,-0.03171085938811302
0.05972224101424217,0.05535034090280533,-0.05865427479147911,-0.05991654470562935,-0.05980977043509483,-0.028630856424570084
0.06378789991140366,0.05875519663095474,-0.06296949088573456,-0.06391332298517227,-0.06386323273181915,-0.029460405930876732
0.06768462806940079,0.05673878267407417,-0.06645772606134415,-0.0679161474108696,-0.06777379661798477,-0.02691604010760784
0.07177695631980896,0.05993872880935669,-0.07090779393911362,-0.07191427797079086,-0.0718485414981842,-0.029107332229614258
0.07575622946023941,0.06210016459226608,-0.07490156590938568,-0.07591342180967331,-0.0758376494050026,-0.02682136930525303
0.07970636337995529,0.061889469623565674,-0.07864535599946976,-0.07991476356983185,-0.07979239523410797,-0.025501798838377
0.08376875519752502,0.06531310826539993,-0.08298611640930176,-0.0839134156703949,-0.08384588360786438,-0.026259317994117737
0.08768262714147568,0.06424518674612045,-0.08657826483249664,-0.08791548758745193,-0.0877709612250328,-0.023889845237135887
0.09175769984722137,0.06756073981523514,-0.09096826612949371,-0.09191444516181946,-0.09183375537395477,-0.02551952376961708
0.0957212969660759,0.06910992413759232,-0.09486915171146393,-0.09591440856456757,-0.09580735117197037,-0.0233291145414114
0.0997161865234375,0.07084183394908905,-0.0988711416721344,-0.09991367906332016,-0.09980333596467972,-0.02277328073978424
0.10370713472366333,0.07249683141708374,-0.10286813974380493,-0.10391275584697723,-0.10379675775766373,-0.022080160677433014
0.10770472139120102,0.07448884099721909,-0.1069098487496376,-0.10791133344173431,-0.10779732465744019,-0.021513722836971283
