q0,q1,q2,q3,q4,q5
-0.046295475,0.08978327,-0.15939508,0.046079904,0.14065437,0.314
-0.046399426,0.08914514,-0.15897636,0.04627096,0.14037238,0.314
-0.046483662,0.08860769,-0.1586318,0.046410915,0.14010753,0.314
-0.046591446,0.08802854,-0.15828125,0.046545144,0.13978823,0.314
-0.04665508,0.0876756,-0.15806805,0.046630714,0.13958542,0.314
-0.04672895,0.087206095,-0.15786824,0.04670782,0.13941051,0.314
-0.046771962,0.086907394,-0.1577934,0.046748098,0.13933796,0.314
-0.04680419,0.0866496,-0.15780473,0.046717405,0.1393023,0.314
-0.046818826,0.08638511,-0.1578236,0.04671647,0.13930757,0.314
-0.046802673,0.08623272,-0.15797614,0.046582688,0.1394144,0.314
-0.04680891,0.08590441,-0.15800314,0.046585795,0.13937289,0.314
-0.04681624,0.08561345,-0.1580063,0.046589877,0.13927941,0.314
-0.046754275,0.0855058,-0.15820417,0.04645542,0.13947874,0.314
-0.046723712,0.08528226,-0.15825756,0.046476346,0.13954245,0.314
-0.046662457,0.085031465,-0.15842779,0.04629035,0.13954036,0.314
-0.04657187,0.08487807,-0.15863527,0.0461164,0.1396728,0.314
-0.04653386,0.08463514,-0.15867196,0.04611846,0.13966344,0.314
-0.04642149,0.08448025,-0.15889409,0.045954883,0.13982652,0.314
-0.046374306,0.08427726,-0.15894574,0.045917492,0.13981241,0.314
-0.046294987,0.0840518,-0.15905343,0.045875154,0.13987564,0.314
-0.04619834,0.08382033,-0.15918997,0.045796584,0.13993107,0.314
-0.04609641,0.08359034,-0.15932328,0.045730032,0.14001165,0.314
-0.0459817,0.08334442,-0.1594835,0.045641806,0.14005138,0.314
-0.045890428,0.083157524,-0.15960436,0.045598906,0.14012182,0.314
-0.04577291,0.08290654,-0.15978171,0.045541897,0.14015704,0.314
-0.045653578,0.08266241,-0.15996145,0.04553853,0.14027657,0.314
-0.045560654,0.0824361,-0.16012089,0.045518093,0.1402519,0.314
-0.04537162,0.0820473,-0.16052853,0.045616087,0.14042513,0.314
-0.045235466,0.08183479,-0.16080813,0.045707088,0.140693,0.314
-0.04508106,0.08154478,-0.16112246,0.045768734,0.14081214,0.314
-0.044967603,0.081346385,-0.16132599,0.045813803,0.140949,0.314
-0.04477223,0.08103698,-0.16171482,0.04591562,0.14123261,0.314
-0.044635754,0.08080445,-0.16196148,0.045966,0.14137892,0.314
-0.044474836,0.080547,-0.1622883,0.046065267,0.14163248,0.314
-0.044335905,0.0802962,-0.16252916,0.046112847,0.14174606,0.314
-0.044168923,0.08004878,-0.16287443,0.046203017,0.14201425,0.314
-0.043974165,0.079692125,-0.16323577,0.04629581,0.14220236,0.314
-0.043844428,0.07949408,-0.16349491,0.046356037,0.14240201,0.314
-0.04367767,0.079182275,-0.1638091,0.046432663,0.14254007,0.314
-0.043536123,0.07898422,-0.16410927,0.046495583,0.14278726,0.314
-0.043330323,0.0785776,-0.16449213,0.046584524,0.14290981,0.314
-0.04316783,0.078245915,-0.16475017,0.046611022,0.14287739,0.314
-0.043021847,0.07807695,-0.16508646,0.04667028,0.14321496,0.314
-0.042878088,0.07781254,-0.16530581,0.046669304,0.14319436,0.314
-0.042731937,0.07763668,-0.16561499,0.0466994,0.14345925,0.314
-0.04253995,0.0773428,-0.16595349,0.04669989,0.14355378,0.314
-0.04239286,0.07712603,-0.16622482,0.04670494,0.14366293,0.314
-0.0422413,0.07693922,-0.1665185,0.04670314,0.14384553,0.314
-0.042095747,0.07672446,-0.16678181,0.046699215,0.14393042,0.314
-0.04195087,0.0765299,-0.16705175,0.046690118,0.14404531,0.314
-0.04176313,0.07627656,-0.1674101,0.046681773,0.14420274,0.314
-0.041621283,0.07605294,-0.16767325,0.04668289,0.1442733,0.314
-0.041461766,0.07584744,-0.1679791,0.046664964,0.1443892,0.314
-0.041326117,0.075638615,-0.16824049,0.046666685,0.14447756,0.314
-0.041152976,0.07541215,-0.16856965,0.046639137,0.14455141,0.314
-0.041007124,0.07516652,-0.16887735,0.046665784,0.1447117,0.314
-0.040840942,0.07490671,-0.16918314,0.04664479,0.14467628,0.314
-0.040713,0.07472741,-0.16945949,0.046649616,0.14483963,0.314
-0.040532973,0.07444817,-0.16979985,0.04662712,0.14479914,0.314
-0.040428165,0.07429432,-0.17005603,0.046649355,0.14501594,0.314
-0.040184505,0.07393535,-0.17052536,0.046608668,0.14494236,0.314
-0.040021654,0.07371567,-0.1708631,0.04658692,0.14501064,0.314
-0.039895363,0.073488645,-0.17114095,0.046601664,0.14505099,0.314
-0.039722875,0.073265776,-0.17149734,0.046568613,0.14509808,0.314
-0.03952814,0.07291729,-0.1719406,0.046587776,0.14511041,0.314
-0.039366547,0.07272811,-0.1722627,0.046535037,0.14509761,0.314
-0.039268736,0.072533205,-0.17250793,0.046556484,0.14528377,0.314
-0.03917325,0.07226702,-0.17277561,0.04661836,0.14533839,0.314
-0.039003216,0.07203236,-0.17312819,0.04657277,0.14532475,0.314
-0.038864568,0.071716964,-0.17347814,0.046608403,0.14530125,0.314
-0.03874786,0.071527526,-0.17374453,0.046589762,0.14537762,0.314
-0.038594346,0.07117065,-0.17416665,0.046635654,0.14539745,0.314
-0.038431298,0.07085824,-0.17456281,0.046635244,0.14533217,0.314
-0.038328543,0.07069504,-0.17483163,0.046620008,0.14545794,0.314
-0.038177755,0.070401505,-0.17520292,0.046616938,0.14538614,0.314
-0.038070884,0.070193306,-0.1755219,0.046623863,0.14556196,0.314
-0.037934072,0.0700654,-0.17578922,0.046539754,0.14555283,0.314
-0.037708115,0.0697159,-0.17631519,0.04649016,0.14544626,0.314
-0.03758869,0.069447406,-0.17668128,0.04652261,0.1454862,0.314
-0.037423745,0.0692793,-0.17701183,0.046425324,0.14547,0.314
-0.03731306,0.06901316,-0.17731683,0.04644423,0.14544281,0.314
-0.037191313,0.06881103,-0.17753224,0.046373595,0.14539528,0.314
-0.037067994,0.06829159,-0.17763582,0.046340093,0.144958,0.314
-0.037064474,0.067812614,-0.17724095,0.046232667,0.14427713,0.314
-0.037077855,0.06727472,-0.17688176,0.046171013,0.1435154,0.314
-0.037125114,0.06685391,-0.17641895,0.04603757,0.14279234,0.314
-0.037192117,0.06637183,-0.17588283,0.04586048,0.14190361,0.314
-0.037303947,0.06596337,-0.1753736,0.04577757,0.14114502,0.314
-0.037348583,0.065557234,-0.1750564,0.04563428,0.14044107,0.314
-0.03748201,0.065148674,-0.17452045,0.045518693,0.13960421,0.314
-0.037616707,0.06469006,-0.1739791,0.04533535,0.13866217,0.314
-0.03772189,0.0643178,-0.17357765,0.04517945,0.1378877,0.314
-0.03780495,0.0640837,-0.17327191,0.045053493,0.13733129,0.314
-0.037943486,0.06366043,-0.1727838,0.044827927,0.1363404,0.314
-0.03805694,0.063312195,-0.17241527,0.04464466,0.1355339,0.314
-0.038149454,0.06295147,-0.17212574,0.044472735,0.13473158,0.314
-0.038561556,0.06293264,-0.17091012,0.04404583,0.13377737,0.314
-0.038373593,0.062156003,-0.17150046,0.044065516,0.1328969,0.314
-0.038588416,0.061972406,-0.17090826,0.043783993,0.13209032,0.314
-0.038717274,0.061548825,-0.17067249,0.04370097,0.13136247,0.314
-0.039147962,0.061717417,-0.16935097,0.042976703,0.130089,0.314
-0.03909496,0.060965188,-0.16972242,0.043071147,0.12929076,0.314
-0.039274372,0.06075115,-0.16936138,0.042954355,0.12880652,0.314
-0.039419062,0.060082324,-0.16910535,0.042739686,0.12720656,0.314
-0.03944848,0.05981907,-0.16924073,0.042737514,0.12710135,0.314
-0.03980661,0.05951441,-0.16837136,0.042317867,0.12560356,0.314
-0.040287048,0.05940137,-0.16739188,0.042155754,0.12536313,0.314
-0.040189203,0.058728345,-0.16776042,0.04197447,0.12378251,0.314
-0.040620398,0.058124196,-0.16703735,0.042065542,0.12305498,0.314
-0.04099668,0.057366956,-0.16647042,0.04224349,0.12215419,0.314
-0.040972214,0.05685549,-0.1667201,0.042131867,0.121176735,0.314
-0.041663732,0.056330204,-0.16533631,0.042264678,0.12047937,0.314
-0.041946243,0.055686083,-0.1649029,0.04214119,0.11914374,0.314
-0.04215302,0.05562039,-0.16436169,0.041661017,0.11797758,0.314
-0.042830963,0.05490638,-0.16304605,0.04167741,0.11669803,0.314
-0.043102775,0.05445791,-0.1625599,0.041442677,0.11546798,0.314
-0.0438361,0.053403568,-0.16136181,0.042151373,0.115106694,0.314
-0.04365053,0.053928066,-0.16141449,0.040583245,0.112857535,0.314
-0.044530775,0.052672714,-0.15996134,0.041233208,0.1120736,0.314
-0.04496285,0.052200925,-0.15914056,0.041024078,0.11090304,0.314
-0.0453979,0.05169126,-0.15837042,0.04076771,0.1096606,0.314
-0.04586995,0.051328845,-0.15740263,0.040439207,0.10844785,0.314
-0.046279456,0.050920315,-0.15663321,0.040193506,0.10739314,0.314
-0.046842393,0.050300892,-0.15562472,0.039773297,0.10576923,0.314
-0.047214534,0.04990644,-0.15492466,0.039490577,0.10470809,0.314
-0.047935188,0.049463023,-0.15354916,0.039001156,0.10330047,0.314
-0.04820558,0.0490524,-0.15305088,0.038673628,0.10219268,0.314
-0.048733216,0.04854613,-0.15206575,0.038132705,0.10065865,0.314
-0.0490646,0.048160434,-0.15146464,0.03801734,0.10002717,0.314
-0.049293905,0.047624078,-0.15114906,0.03757654,0.09871437,0.314
-0.049976677,0.04739095,-0.14972104,0.036619864,0.09690679,0.314
-0.05042805,0.04691377,-0.14884876,0.036219683,0.09578781,0.314
-0.050831378,0.04647283,-0.14808445,0.03548411,0.094242774,0.314
-0.0512394,0.04605591,-0.14725444,0.03498612,0.093130305,0.314
-0.05182708,0.045652475,-0.146058,0.03434098,0.09184756,0.314
-0.05193984,0.045379896,-0.14585583,0.03383195,0.09099,0.314
-0.0523494,0.044894744,-0.14511882,0.033114344,0.08971039,0.314
-0.05258238,0.044720948,-0.14452802,0.032541376,0.08885976,0.314
-0.05300354,0.04440854,-0.14359792,0.03154296,0.08750203,0.314
-0.053298593,0.044099767,-0.14302546,0.03077198,0.086501524,0.314
-0.053543042,0.043924738,-0.14213896,0.029913072,0.085535705,0.314
-0.053761303,0.043355063,-0.14263687,0.029151523,0.0847094,0.314
-0.054084957,0.043041985,-0.1412863,0.028492127,0.083911285,0.314
-0.05422012,0.04330644,-0.14026038,0.026949191,0.08269744,0.314
-0.054425757,0.0428762,-0.14006703,0.025784953,0.08185752,0.314
-0.054437023,0.042849176,-0.13906707,0.024991399,0.081317,0.314
-0.054406684,0.042480882,-0.13774815,0.024062343,0.08085648,0.314
-0.054333117,0.042830795,-0.13755183,0.022663858,0.08004492,0.314
-0.054251004,0.04268844,-0.13697614,0.02141959,0.07954581,0.314
-0.053972084,0.04240374,-0.13572171,0.020168323,0.079215966,0.314
-0.053593796,0.042577047,-0.13494866,0.019234328,0.07893085,0.314
-0.05310936,0.042448655,-0.13400765,0.017714374,0.078673914,0.314
-0.052624185,0.042492937,-0.13328584,0.016402954,0.07846265,0.314
-0.05175212,0.042336024,-0.1317844,0.0147743365,0.07840964,0.314
-0.051011067,0.042310085,-0.13084699,0.013515434,0.078426935,0.314
-0.050393533,0.0422381,-0.12974884,0.012352392,0.07836832,0.314
-0.049765825,0.042286612,-0.12894945,0.011029555,0.07828762,0.314
-0.048958927,0.042348973,-0.12793513,0.00945121,0.07822611,0.314
-0.048179712,0.042290952,-0.12685788,0.008194777,0.07827721,0.314
-0.047432877,0.042294923,-0.1259323,0.0069177933,0.07830439,0.314
-0.046673816,0.04223518,-0.12504272,0.00582198,0.07842428,0.314
